...1,doc_id,adj_token_id,noun_token_id,sentence,adj_token,noun_token,noun_lemma,parse_type,prenominal,adj_lower,dataset,adj_stem,noun_stem,person,session,subject,X
22,2643,4,5,Where's your dish cloth.,dish,cloth,cloth,adj,TRUE,dish,cabnc_utts_udpipe,dish,cloth,adult,NA,NA,NA
23,2668,5,6,Yeah whether he were dark hair or light hair or tall or short.,dark,hair,hair,adj,TRUE,dark,cabnc_utts_udpipe,dark,hair,adult,NA,NA,NA
24,2685,28,30,if they're leaving it one just for one night there's not it's it's easy enough to just say I'll I'll put key on windowsill and.,key,windowsill,windowsill,adj,FALSE,key,cabnc_utts_udpipe,kei,windowsil,adult,NA,NA,NA
25,2774,9,10,You should have got her a drop of brandy brandy or whisky Albert.,brandy,brandy,brandy,adj,TRUE,brandy,cabnc_utts_udpipe,brandi,brandi,adult,NA,NA,NA
26,3038,6,8,In tha hasn't the outhouse next door.,outhouse,door,door,adj,FALSE,outhouse,cabnc_utts_udpipe,outhous,door,adult,NA,NA,NA
27,3077,9,10,Twenty three thousand and she left all carpets furniture curtains and everything and all he had to do was just move in.,furniture,curtains,curtain,adj,TRUE,furniture,cabnc_utts_udpipe,furnitur,curtain,adult,NA,NA,NA
28,3124,1,2,pelican crossing though.,pelican,crossing,cross,adj,TRUE,pelican,cabnc_utts_udpipe,pelican,cross,adult,NA,NA,NA
29,3304,5,6,I'd opened the fridge door and our Corrinne had got about that much in bottom of bottle and she spotted it.,fridge,door,door,adj,TRUE,fridge,cabnc_utts_udpipe,fridg,door,adult,NA,NA,NA
30,3394,6,7,He hadn't fetched that key back for garage has he.,key,back,back,adj,TRUE,key,cabnc_utts_udpipe,kei,back,adult,NA,NA,NA
31,3617,7,8,What do you want Small white thick loaf.,thick,loaf,loaf,adj,TRUE,thick,cabnc_utts_udpipe,thick,loaf,adult,NA,NA,NA
32,3683,3,4,come in dark yard.,dark,yard,yard,adj,TRUE,dark,cabnc_utts_udpipe,dark,yard,adult,NA,NA,NA
33,3694,5,6,It's got a burglar alarm on.,burglar,alarm,alarm,adj,TRUE,burglar,cabnc_utts_udpipe,burglar,alarm,adult,NA,NA,NA
34,3938,10,11,No it does doesn't it It's not ant powder.,ant,powder,powder,adj,TRUE,ant,cabnc_utts_udpipe,ant,powder,adult,NA,NA,NA
35,4263,5,6,There's no er wet filter in What.,wet,filter,filter,adj,TRUE,wet,cabnc_utts_udpipe,wet,filter,adult,NA,NA,NA
36,4264,4,5,you call a wet filter to.,wet,filter,filter,adj,TRUE,wet,cabnc_utts_udpipe,wet,filter,adult,NA,NA,NA
37,4297,6,7,Oh I forgot them little green men.,green,men,man,adj,TRUE,green,cabnc_utts_udpipe,green,men,adult,NA,NA,NA
38,4505,31,33,Oh well it's gon na be a right change for us in that room int it Whatever we get I say Angie's is that carpet's that thick three pound odd a roll.,thick,pound,pound,adj,FALSE,thick,cabnc_utts_udpipe,thick,pound,adult,NA,NA,NA
39,5071,33,34,So he put it in shed left it in shed for a while and then it were not last year the year before he took it down I'm putting this in dustbin duck he says it's no damn good we went on holiday and me daughter's boyfriend came down while we were away and er he must of been looking in dustbin he says what's this telly doing our Mandy said it's no good me dad's slinging it out so he took it home and fixed it it's been going ever since.,dustbin,duck,duck,adj,TRUE,dustbin,cabnc_utts_udpipe,dustbin,duck,adult,NA,NA,NA
40,5101,4,6,We're having hot cross buns as usual on April the fifteenth.,hot,buns,bun,adj,FALSE,hot,cabnc_utts_udpipe,hot,bun,adult,NA,NA,NA
41,5193,8,11,The only fish I well I say fish it's seafood is salmon.,fish,seafood,seafood,adj,FALSE,fish,cabnc_utts_udpipe,fish,seafood,adult,NA,NA,NA
42,5201,9,11,Oh yet me father me father'd have fish every meal.,fish,meal,meal,adj,FALSE,fish,cabnc_utts_udpipe,fish,meal,adult,NA,NA,NA
43,5231,14,15,Yeah I used to go down to and I used to pass these fish shops I had to have fish and chips.,fish,shops,shop,adj,TRUE,fish,cabnc_utts_udpipe,fish,shop,adult,NA,NA,NA
44,5233,13,14,cos I don't know why they've got blooming queues in fish shop.,fish,shop,shop,adj,TRUE,fish,cabnc_utts_udpipe,fish,shop,adult,NA,NA,NA
45,5333,20,15,Yeah I thought these things that I don't wear that I like the material of it's good material it's a matter of trying built it up.,material,material,material,adj,FALSE,material,cabnc_utts_udpipe,materi,materi,adult,NA,NA,NA
46,5399,3,4,plus two pound postage.,pound,postage,postage,adj,TRUE,pound,cabnc_utts_udpipe,pound,postag,adult,NA,NA,NA
47,5460,4,5,There's your sugar spoon.,sugar,spoon,spoon,adj,TRUE,sugar,cabnc_utts_udpipe,sugar,spoon,adult,NA,NA,NA
48,5579,10,11,Ah it's not that cut I like that cut bread do you.,cut,bread,bread,adj,TRUE,cut,cabnc_utts_udpipe,cut,bread,adult,NA,NA,NA
49,5584,17,18,Well they'll fill you up won't they I was gon na save you some apple pie I didn't know whether you liked it or er rabbit pie I mean I didn't know whether you liked it or not.,apple,pie,pie,adj,TRUE,apple,cabnc_utts_udpipe,appl,pie,adult,NA,NA,NA
50,5662,11,12,a bit like Furniture Factors like a pattern on them round edge.,round,edge,edge,adj,TRUE,round,cabnc_utts_udpipe,round,edg,adult,NA,NA,NA
